,Unnamed: 0,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower,Call
345,346,TITAN,EQ,2018-10-03,809.75,811.5,813.0,791.2,796.0,794.5,800.97,3478716,2786363385.55,99529,1351554,38.85,2018,10,-1.88,Negative,814.021428571429,14.784993877451111,843.5914163263312,784.4514408165269,Hold Short / Liquidate Buy
346,347,TITAN,EQ,2018-10-04,794.5,785.0,797.5,760.3,775.75,776.7,779.28,4579535,3568759055.95,155044,1950630,42.59,2018,10,-2.24,Negative,810.8750000000006,17.652116347301888,846.1792326946044,775.5707673053968,Hold Short / Liquidate Buy
347,348,TITAN,EQ,2018-10-05,776.7,788.25,815.7,784.0,785.5,792.1,803.78,7398167,5946500948.0,180328,2226992,30.1,2018,10,1.98,Positive,808.421428571429,17.707893875182442,843.8372163217939,773.0056408210642,Hold Short / Liquidate Buy
348,349,TITAN,EQ,2018-10-08,792.1,792.0,819.0,774.7,813.45,813.55,797.67,3961739,3160148710.1,110451,879118,22.19,2018,10,2.71,Positive,806.346428571429,14.869308404152466,836.085045379734,776.607811763124,Hold Buy / Liquidate Short
349,350,TITAN,EQ,2018-10-09,813.55,818.95,820.95,732.3,749.0,749.5,774.1,8683946,6722274117.15,238388,2778238,31.99,2018,10,-7.87,Bear drop,801.064285714286,20.42363288496914,841.9115514842243,760.2170199443477,Hold Short / Liquidate Buy
350,351,TITAN,EQ,2018-10-10,749.5,746.0,796.35,740.0,790.0,788.55,779.62,7285084,5679618262.45,171817,1551226,21.29,2018,10,5.21,Among top gainers,798.4678571428575,19.447578523810375,837.3630141904782,759.5727000952368,Hold Short / Liquidate Buy
351,352,TITAN,EQ,2018-10-11,788.55,764.0,798.0,754.55,780.0,778.9,780.84,3766505,2941028420.05,117414,762028,20.23,2018,10,-1.22,Negative,795.2750000000003,18.65736346697116,832.5897269339426,757.960273066058,Hold Short / Liquidate Buy
352,353,TITAN,EQ,2018-10-12,778.9,784.0,809.75,777.1,804.7,805.15,794.88,4322158,3435578197.5,115859,873137,20.2,2018,10,3.37,Among top gainers,795.6000000000003,18.79636830716695,833.1927366143342,758.0072633856663,Hold Buy / Liquidate Short
353,354,TITAN,EQ,2018-10-15,805.15,805.2,812.0,788.75,808.15,807.2,799.35,2234430,1786082531.25,65649,466520,20.88,2018,10,0.25,Slight,796.7500000000002,18.99137456037653,834.7327491207533,758.7672508792472,Hold Buy / Liquidate Short
354,355,TITAN,EQ,2018-10-16,807.2,811.0,819.65,808.0,809.4,810.6,813.16,2347048,1908527436.0,54154,604378,25.75,2018,10,0.42,Slight,797.7321428571431,19.349116528662766,836.4303759144686,759.0339097998176,Hold Buy / Liquidate Short
355,356,TITAN,EQ,2018-10-17,810.6,817.1,823.3,792.55,804.0,800.1,805.11,2975579,2395655546.35,69707,590610,19.85,2018,10,-1.3,Negative,796.6892857142859,18.748376120162153,834.1860379546102,759.1925334739616,Hold Short / Liquidate Buy
356,357,TITAN,EQ,2018-10-19,800.1,810.0,810.0,782.5,787.6,788.7,793.88,2892515,2296320139.05,78065,692453,23.94,2018,10,-1.42,Negative,794.3500000000003,17.417155556878853,829.184311113758,759.5156888862425,Hold Short / Liquidate Buy
