,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Month,Date_Year,Day_Perc_Change,Trend
61,MUTHOOTFIN,NB,2017-06-13,1745.0,1745.01,1745.01,1745.0,1745.0,1745.0,1745.0,100,174500.25,4,100,100.0,6,2017,0.736318407960199,Slight positive
62,MUTHOOTFIN,NC,2017-06-13,1922.77,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,100,192700.0,1,100,100.0,6,2017,0.10429799426934094,Slight
63,MUTHOOTFIN,NG,2017-06-13,1001.0,1002.5,1002.5,1002.5,1002.5,1002.5,1002.5,5,5012.5,1,5,100.0,6,2017,-0.4797612869745719,Slight
65,MUTHOOTFIN,,2017-06-14,1020.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,5,5125.0,1,5,100.0,6,2017,0.02244389027431426,Slight
66,MUTHOOTFIN,NB,2017-06-14,1745.0,1745.01,1745.01,1745.01,1745.01,1745.01,1745.01,10,17450.1,1,10,100.0,6,2017,0.7024487804878048,Slight positive
67,MUTHOOTFIN,NC,2017-06-14,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,10,19270.0,1,10,100.0,6,2017,0.10429166595033834,Slight
68,MUTHOOTFIN,NF,2017-06-14,1000.0,970.03,970.03,970.03,970.03,970.03,970.03,104,100883.12,1,104,100.0,6,2017,-0.49661131292163985,Slight
69,MUTHOOTFIN,NG,2017-06-14,1002.5,1005.0,1009.0,1005.0,1009.0,1007.09,1006.94,68,68472.0,3,68,100.0,6,2017,0.038205003968949436,Slight
71,MUTHOOTFIN,N9,2017-06-15,1005.0,1005.2,1009.73,980.0,999.75,986.99,986.8,2140,2111756.05,29,1995,93.22,6,2017,-0.01995849427558616,Slight
72,MUTHOOTFIN,,2017-06-15,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,1025.0,45,46125.0,4,45,100.0,6,2017,0.03851102848053167,Slight
74,MUTHOOTFIN,N9,2017-06-16,986.99,1008.9,1008.9,1000.0,1003.5,1003.49,1002.77,98,98271.3,10,83,84.69,6,2017,-0.02098536585365851,Slight
75,MUTHOOTFIN,NC,2017-06-16,1927.0,1928.0,1928.0,1928.0,1928.0,1928.0,1928.0,10,19280.0,1,10,100.0,6,2017,0.921294681561351,Slight positive
76,MUTHOOTFIN,NF,2017-06-16,970.03,1006.0,1006.0,1006.0,1006.0,1006.0,1006.0,100,100600.0,1,100,100.0,6,2017,-0.47821576763485474,Slight
78,MUTHOOTFIN,NB,2017-06-19,1745.01,1745.0,1750.0,1744.0,1750.0,1750.0,1744.89,225,392600.0,6,200,88.89,6,2017,0.7395626242544731,Slight positive
79,MUTHOOTFIN,NF,2017-06-19,1006.0,1005.0,1005.0,1005.0,1005.0,1005.0,1005.0,10,10050.0,1,10,100.0,6,2017,-0.4257142857142857,Slight
80,MUTHOOTFIN,NG,2017-06-19,1007.09,995.1,1000.0,995.05,1000.0,1000.0,997.4,95,94752.75,4,50,52.63,6,2017,-0.00497512437810943,Slight
82,MUTHOOTFIN,N9,2017-06-20,1003.49,1004.6,1004.6,1002.0,1002.0,1002.0,1003.38,95,95321.5,7,95,100.0,6,2017,0.0020000000000000018,Slight
83,MUTHOOTFIN,NC,2017-06-20,1928.0,1927.0,1927.0,1927.0,1927.0,1927.0,1927.0,60,115620.0,2,60,100.0,6,2017,0.9231536926147705,Slight positive
84,MUTHOOTFIN,ND,2017-06-20,1075.0,975.0,1002.99,975.0,1000.0,1000.0,996.57,34,33883.47,4,27,79.41,6,2017,-0.48105864037363777,Slight
85,MUTHOOTFIN,NG,2017-06-20,1000.0,1002.0,1002.0,1002.0,1002.0,1002.0,1002.0,5,5010.0,1,5,100.0,6,2017,0.0020000000000000018,Slight
87,MUTHOOTFIN,N9,2017-06-21,1002.0,1002.0,1002.45,1000.0,1000.0,1000.07,1000.89,140,140124.5,7,140,100.0,6,2017,-0.0019261477045907638,Slight
88,MUTHOOTFIN,ND,2017-06-21,1000.0,999.0,999.0,950.11,980.59,980.59,970.61,89,86384.08,5,89,100.0,6,2017,-0.019478636495445345,Slight
90,MUTHOOTFIN,NC,2017-06-22,1927.0,1924.0,1931.5,1924.0,1931.5,1931.5,1927.75,200,385550.0,3,200,100.0,6,2017,0.9697325079798895,Slight positive
