Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty
MUTHOOTFIN,EQ,2018-11-30,445.6,450,454.85,442.25,451.5,452.6,449.14,702937,315714916.75,22693,269262,38.31
MUTHOOTFIN,EQ,2018-12-03,452.6,453,461.5,446.05,448.35,448.3,453.58,284847,129200647.3,6207,49900,17.52
MUTHOOTFIN,EQ,2018-12-04,448.3,448.3,456.3,441.15,447.75,445.3,449.13,717442,322225802.5,12246,240234,33.48
MUTHOOTFIN,EQ,2018-12-05,445.3,445.6,451.55,440,445,447.35,446.66,474259,211833518.05,19557,197785,41.7
MUTHOOTFIN,EQ,2018-12-06,447.35,444,454.4,389.3,444,420.65,417.18,7106208,2964584886.45,117552,1146759,16.14
MUTHOOTFIN,EQ,2018-12-07,420.65,431.05,483.7,431.05,472.75,471.3,464.34,13228672,6142607635.2,182013,1264471,9.56
MUTHOOTFIN,EQ,2018-12-10,471.3,454.8,488.8,449.9,467,464.15,472.04,7586556,3581157890.65,115129,747809,9.86
MUTHOOTFIN,EQ,2018-12-11,464.15,460.1,475.3,456.25,472.85,469.55,466.28,1990904,928309022.35,43058,170500,8.56
MUTHOOTFIN,EQ,2018-12-12,469.55,472.85,482.9,470,475.25,478,476.64,1408268,671242363.6,28093,171794,12.2
MUTHOOTFIN,EQ,2018-12-13,478,478,483,473.25,480,481.3,478.2,1227007,586752991.45,22113,402849,32.83
MUTHOOTFIN,EQ,2018-12-14,481.3,477,484.35,465.6,472.25,471.55,473.59,950903,450336114.45,16493,154160,16.21
MUTHOOTFIN,EQ,2018-12-17,471.55,472,484.2,471.55,476.6,477.95,478.94,990385,474334421.25,25426,296798,29.97
MUTHOOTFIN,EQ,2018-12-18,477.95,476,485.55,473,483.1,483.8,479.98,971500,466303709.3,20911,285633,29.4
MUTHOOTFIN,EQ,2018-12-19,483.8,488,510,483,504.95,503.35,500.51,4420035,2212290042.7,84076,1492187,33.76
MUTHOOTFIN,EQ,2018-12-20,503.35,497.5,511.2,497.5,500,499.5,504.36,1887351,951900527.7,31651,467371,24.76
MUTHOOTFIN,NG,2018-12-20,996,998.99,998.99,996,996,996,998.73,1900,1897583,4,1900,100
MUTHOOTFIN,EQ,2018-12-21,499.5,501,505,484.75,487.65,486.6,492.38,1550585,763481855.7,23963,549644,35.45
MUTHOOTFIN,EQ,2018-12-24,486.6,488,501.55,486.35,494.1,494.35,496.67,1352810,671894735.9,23661,261390,19.32
MUTHOOTFIN,EQ,2018-12-26,494.35,496,504.5,478.4,497.25,499.45,494.43,1577695,780067358.65,32164,543548,34.45
MUTHOOTFIN,EQ,2018-12-27,499.45,501.7,504.9,491.45,492.55,493.1,497.01,895299,444975922.7,12168,322754,36.05
MUTHOOTFIN,EQ,2018-12-28,493.1,496.9,510.7,495.3,504.55,504.5,505.55,1509008,762878299.95,36714,624139,41.36
MUTHOOTFIN,EQ,2018-12-31,504.5,507.65,518.6,503.65,518,516,512.62,1775209,910011069.25,28249,361385,20.36
MUTHOOTFIN,NG,2018-12-31,996,1010,1010,1000,1000,1000,1001.67,12,12020,3,12,100
MUTHOOTFIN,EQ,2019-01-01,516,516,517.7,510.8,511.55,512.5,513.32,573931,294611144.55,8853,75719,13.19
MUTHOOTFIN,EQ,2019-01-02,512.5,513.5,515.55,498,502,502.25,506.2,973749,492911651.9,16897,221207,22.72
MUTHOOTFIN,EQ,2019-01-03,502.25,503.1,505.8,494.1,496.65,495.75,499.5,482416,240964438.9,8639,87590,18.16
MUTHOOTFIN,EQ,2019-01-04,495.75,498.35,508.8,489.7,499.5,501.95,499.68,1409156,704123054.45,31707,467072,33.15
