Date,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
2017-09-13,DRREDDY,EQ,2017-09-13,2165.75,2187.0,2228.0,2169.15,2223.95,2217.35,2207.3,755242,1667042477.45,32366,182360,24.15,2017,9,2.38,Positive,0.042982559995208,2092.1380952380964,2170.3205882352936,HODL,2142.010714285715,76.79084274977441,2295.5923997852638,1988.4290287861663
2017-09-14,DRREDDY,EQ,2017-09-14,2217.35,2234.0,2264.95,2230.0,2257.75,2253.35,2248.43,613254,1378858126.25,27683,142995,23.32,2017,9,1.62,Positive,0.04533670301286501,2104.1047619047627,2156.967647058823,HODL,2153.8107142857148,80.48169208577677,2314.7740984572683,1992.8473301141612
2017-09-15,DRREDDY,EQ,2017-09-15,2253.35,2225.2,2245.0,2201.1,2208.3,2211.2,2217.85,672801,1492174491.25,32429,260793,38.76,2017,9,-1.87,Negative,0.04989784706302071,2113.9119047619056,2144.933823529411,HODL,2165.3678571428577,75.81704853726393,2317.0019542173854,2013.73376006833
2017-09-18,DRREDDY,EQ,2017-09-18,2211.2,2204.0,2258.55,2175.6,2255.0,2242.05,2213.95,730962,1618314092.5,28151,164945,22.57,2017,9,1.4,Positive,0.05023422581538657,2124.902380952382,2138.37794117647,HODL,2179.653571428572,69.36117142644756,2318.375914281467,2040.9312285756769
2017-09-19,DRREDDY,EQ,2017-09-19,2242.05,2232.0,2265.0,2200.0,2240.3,2241.55,2240.35,566790,1269810216.4,27317,119096,21.01,2017,9,-0.02,Slight,0.03733650379142855,2137.261904761906,2134.2117647058817,BUY,2194.128571428572,57.93157672995128,2309.9917248884744,2078.265417968669
2017-09-20,DRREDDY,EQ,2017-09-20,2241.55,2250.0,2329.0,2240.0,2325.0,2314.7,2297.29,1333098,3062510544.7,68935,412645,30.95,2017,9,3.26,Among top gainers,0.04501509234741769,2155.5285714285724,2130.774999999999,HODL,2215.1142857142854,41.13075505007907,2297.3757958144433,2132.8527756141275
2017-09-21,DRREDDY,EQ,2017-09-21,2314.7,2346.25,2500.0,2346.25,2490.0,2486.55,2439.82,4057364,9899217598.6,159039,937065,23.1,2017,9,7.42,Bull run,0.07693802060903311,2179.452380952382,2133.9514705882348,HODL,2234.3285714285716,83.43370402321543,2401.1959794750023,2067.461163382141
2017-09-22,DRREDDY,EQ,2017-09-22,2486.55,2494.0,2526.75,2446.55,2461.0,2457.75,2487.73,1991351,4953947243.9,76280,338991,17.02,2017,9,-1.16,Negative,0.08294733072612269,2199.7761904761915,2137.886764705882,HODL,2253.0892857142862,101.5063964990398,2456.1020787123657,2050.0764927162068
2017-09-25,DRREDDY,EQ,2017-09-25,2457.75,2464.0,2475.0,2405.0,2428.2,2417.25,2428.65,911049,2212614781.35,46122,219042,24.04,2017,9,-1.65,Negative,0.08873043294128957,2215.4476190476203,2143.1132352941167,HODL,2267.9535714285716,109.49919294449147,2486.9519573175544,2048.955185539589
2017-09-26,DRREDDY,EQ,2017-09-26,2417.25,2414.0,2415.0,2322.65,2369.95,2370.75,2372.01,1424436,3378782415.1,61227,357181,25.08,2017,9,-1.92,Negative,0.08893612775061496,2230.750000000001,2147.9308823529404,HODL,2280.371428571429,110.67297758275686,2501.717383736943,2059.0254734059154
2017-09-27,DRREDDY,EQ,2017-09-27,2370.75,2360.0,2384.0,2281.1,2311.5,2304.7,2336.0,935536,2185415949.3,41669,269599,28.82,2017,9,-2.79,Negative,0.09653212836792456,2243.2571428571437,2154.0794117647056,HODL,2286.067857142857,109.64861991334648,2505.36509696955,2066.770617316164
2017-09-28,DRREDDY,EQ,2017-09-28,2304.7,2300.0,2415.0,2272.2,2381.35,2375.4,2375.35,2815633,6688114161.15,97102,1193935,42.4,2017,9,3.07,Among top gainers,0.09966318336494134,2259.2809523809533,2163.698529411764,HODL,2301.275,105.8919165034311,2513.058833006862,2089.491166993138
2017-09-29,DRREDDY,EQ,2017-09-29,2375.4,2375.4,2390.7,2320.1,2330.5,2328.75,2352.71,1133595,2667020909.5,47268,369617,32.61,2017,9,-1.96,Negative,0.09885364729495648,2273.940476190477,2175.0014705882345,HODL,2313.3642857142854,97.81414367716496,2508.9925730686155,2117.7359983599554
2017-10-03,DRREDDY,EQ,2017-10-03,2328.75,2415.0,2415.0,2320.45,2325.0,2335.55,2361.12,978860,2311202766.15,41957,379766,38.8,2017,10,0.29,Slight,0.052384642728035814,2279.5595238095243,2184.542647058823,HODL,2325.4928571428572,88.15270155366275,2501.798260250183,2149.1874540355316
