,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
60,M&amp;M,EQ,2017-08-08,1400.75,1400.05,1416.55,1390.25,1399.7,1400.0,1400.99,852827,1194802525.35,33833,486755,57.08,2017,8,-0.05,Slight
61,M&amp;M,EQ,2017-08-09,1400.0,1397.5,1406.6,1384.4,1390.0,1392.3,1395.81,771111,1076327280.6,32601,529597,68.68,2017,8,-0.55,Slight negative
62,M&amp;M,EQ,2017-08-10,1392.3,1386.0,1395.8,1380.0,1395.0,1387.05,1386.52,816173,1131639711.9,35937,529156,64.83,2017,8,-0.38,Slight
63,M&amp;M,EQ,2017-08-11,1387.05,1380.0,1386.1,1340.0,1350.0,1348.05,1359.31,1126510,1531275054.95,37921,718583,63.79,2017,8,-2.81,Negative
64,M&amp;M,EQ,2017-08-14,1348.05,1354.7,1370.9,1347.6,1356.15,1355.75,1357.06,685342,930046854.3,50845,404763,59.06,2017,8,0.57,Slight positive
65,M&amp;M,EQ,2017-08-16,1355.75,1361.9,1376.45,1348.35,1368.0,1371.2,1366.59,744908,1017986385.25,43408,512155,68.75,2017,8,1.14,Positive
66,M&amp;M,EQ,2017-08-17,1371.2,1372.0,1374.95,1358.6,1366.25,1367.0,1368.03,611537,836600407.8,40013,385840,63.09,2017,8,-0.31,Slight
67,M&amp;M,EQ,2017-08-18,1367.0,1364.0,1379.5,1360.65,1371.0,1370.0,1370.83,678855,930592793.8,45903,470264,69.27,2017,8,0.22,Slight
68,M&amp;M,EQ,2017-08-21,1370.0,1370.2,1392.95,1370.15,1378.55,1378.65,1380.28,702542,969703211.3,42318,478521,68.11,2017,8,0.63,Slight positive
69,M&amp;M,EQ,2017-08-22,1378.65,1382.7,1385.8,1371.0,1373.2,1374.65,1376.84,292349,402517219.3,15230,152245,52.08,2017,8,-0.29,Slight
70,M&amp;M,EQ,2017-08-23,1374.65,1378.0,1387.0,1367.05,1375.0,1374.2,1374.93,789242,1085156222.55,14913,575716,72.95,2017,8,-0.03,Slight
71,M&amp;M,EQ,2017-08-24,1374.2,1375.0,1383.0,1367.8,1376.3,1375.15,1374.92,790046,1086251763.6,32240,580275,73.45,2017,8,0.07,Slight
72,M&amp;M,EQ,2017-08-28,1375.15,1380.0,1380.45,1366.5,1372.75,1373.05,1372.5,1035223,1420840103.55,26502,880571,85.06,2017,8,-0.15,Slight
73,M&amp;M,EQ,2017-08-29,1373.05,1375.25,1379.0,1367.05,1375.0,1376.95,1374.84,537856,739466409.9,16638,337557,62.76,2017,8,0.28,Slight
74,M&amp;M,EQ,2017-08-30,1376.95,1385.0,1388.55,1353.85,1360.0,1358.15,1376.14,1055176,1452074708.4,26166,720286,68.26,2017,8,-1.37,Negative
75,M&amp;M,EQ,2017-08-31,1358.15,1358.0,1360.3,1333.0,1344.1,1344.8,1344.66,1558002,2094988754.2,67121,1021371,65.56,2017,8,-0.98,Slight negative
76,M&amp;M,EQ,2017-09-01,1344.8,1344.8,1351.65,1336.9,1346.8,1347.6,1344.64,1087301,1462027916.8,44840,613120,56.39,2017,9,0.21,Slight
77,M&amp;M,EQ,2017-09-04,1347.6,1348.0,1348.0,1324.1,1326.35,1328.3,1333.51,407303,543142765.95,28007,182255,44.75,2017,9,-1.43,Negative
78,M&amp;M,EQ,2017-09-05,1328.3,1329.05,1331.45,1313.45,1325.0,1324.65,1321.6,773888,1022767747.4,27611,338504,43.74,2017,9,-0.27,Slight
79,M&amp;M,EQ,2017-09-06,1324.65,1321.4,1324.65,1310.0,1316.8,1316.55,1318.52,649266,856068432.2,32912,376681,58.02,2017,9,-0.61,Slight negative
80,M&amp;M,EQ,2017-09-07,1316.55,1318.65,1343.0,1318.65,1342.0,1339.95,1334.0,1164341,1553229848.0,37645,826666,71.0,2017,9,1.78,Positive
81,M&amp;M,EQ,2017-09-08,1339.95,1345.0,1346.85,1288.2,1294.95,1295.4,1306.25,1969487,2572639909.05,89869,1001226,50.84,2017,9,-3.32,Among top losers
